中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
单位预算	單位預算	Unit Budget	dan1 wei4 yu4 suan4	unclassified	待核查	TW	unclassified	會計處		tw-judicial:1401	tw-judicial-a8fe0ad00e8938e4a0c8	OGDL-Taiwan-1.0	source_attributed			
单方行政行为	單方行政行為	unilateral administrative action	dan1 fang1 xing2 zheng4 xing2 wei2	administrative	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1399	tw-judicial-dfc9ac512d50296eb02a	OGDL-Taiwan-1.0	source_attributed			
单独关税区	單獨關稅區	separate customs territory	dan1 du2 guan1 shui4 qu1	trade	CN	INTERNATIONAL	term	中华人民共和国对外贸易法（2025第二次修订）	第八十二条只明确“中华人民共和国的单独关税区不适用本法”。学习和检索时应把它视为适用范围边界，不能仅凭该条自行推定具体地区名单或其他法律后果。	oll-cn-tax-trade:cn-separate-customs-territory	cn-separate-customs-territory	CC-BY-4.0	project_authored	《对外贸易法》第八十二条用于指称不适用该法的中华人民共和国单独关税区；该条本身未进一步定义其具体构成。	项目释译，非官方译文；separate customs territory 仅忠实表达条文用语及其适用范围功能。	中华人民共和国对外贸易法（2025第二次修订） 第82条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
卫星广播电视法	衛星廣播電視法	Satellite Broadcasting Act	wei4 xing1 guang3 bo1 dian4 shi4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1833	tw-judicial-b20594530c3d2d06c0e6	OGDL-Taiwan-1.0	source_attributed			
印花税法	印花稅法	Stamp Tax Act	yin4 hua1 shui4 fa3	tax	待核查	TW	statute	憲法法庭書記廳		tw-judicial:465	tw-judicial-404e1aa887cf3e41f357	OGDL-Taiwan-1.0	source_attributed			
印象	印象	impression	yin4 xiang4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:289	tw-tipo-trademark-44fc36f9a27455ec3f67	OGDL-Taiwan-1.0	source_attributed			
厅长	廳長	Director-General	ting1 zhang3	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:2116	tw-judicial-ddbb30bc807d464ddbb9	OGDL-Taiwan-1.0	source_attributed			
厅长室	廳長室	Director-General	ting1 zhang3 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:2117	tw-judicial-65c783447f2bf6b55de2	OGDL-Taiwan-1.0	source_attributed			
原住民敬老福利生活津贴暂行条例	原住民敬老福利生活津貼暫行條例	Provisional Act for Indigenous Senior Citizens' Welfare Living Allowances	yuan2 zhu4 min2 jing4 lao3 fu2 li4 sheng1 huo2 jin1 tie1 zan4 xing2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:989	tw-judicial-5b71ed2acba3eb45043f	OGDL-Taiwan-1.0	source_attributed			
原住民族教育法	原住民族教育法	Education Act for Indigenous Peoples	yuan2 zhu4 min2 zu2 jiao4 yu4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:988	tw-judicial-bedbade70cfdc148b5da	OGDL-Taiwan-1.0	source_attributed			
原住民身分法	原住民身分法	Status Act for Indigenous Peoples	yuan2 zhu4 min2 shen1 fen4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:987	tw-judicial-d5f20ad760da28ff9cd5	OGDL-Taiwan-1.0	source_attributed			
原告	原告	plaintiff	yuan2 gao4	unclassified	待核查	TW	role	憲法法庭書記廳		tw-judicial:990	tw-judicial-eb874b74e57025767e13	OGDL-Taiwan-1.0	source_attributed			
原告及诉讼代理人席	原告及訴訟代理人席	Plaintiff and Agent ad litem	yuan2 gao4 ji2 su4 song4 dai4 li3 ren2 xi2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:991	tw-judicial-c7c37a92fa93f72dfd16	OGDL-Taiwan-1.0	source_attributed			
原始国、来源国	原始國、來源國	country of origin		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:120	tw-tipo-trademark-e6ab30f260a893a5873f	OGDL-Taiwan-1.0	source_attributed			
原子能法	原子能法	The English Text of Atomic Energy Law of The Republic of China	yuan2 zi3 neng2 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:985	tw-judicial-64534a43aab698fcc9b7	OGDL-Taiwan-1.0	source_attributed			
原有财产	原有財產	contributed property	yuan2 you3 cai2 chan3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:986	tw-judicial-e0613438b4d3e59ae675	OGDL-Taiwan-1.0	source_attributed			
原本的主体	原本的主體	the original entity	yuan2 ben3 de5 zhu3 ti3	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:190	tw-tipo-trademark-102cfaf5ec890a29a7d3	OGDL-Taiwan-1.0	source_attributed			
厨房	廚房	Kitchen	chu2 fang2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1805	tw-judicial-55aa70c9a5b581089009	OGDL-Taiwan-1.0	source_attributed			
去标识化	去標識化	de-identification	qu4 biao1 shi2 hua4	privacy	CN	INTERNATIONAL	term	中华人民共和国个人信息保护法（2021）	额外信息仍可能使识别成为可能；与不能复原的匿名化不同。	oll-cn-core:cn-de-identification	cn-de-identification	CC-BY-4.0	project_authored	处理个人信息，使其在不借助额外信息时无法识别特定自然人的过程。	项目释译，非官方译文；本法采用的术语边界应与 anonymization 区分。	中华人民共和国个人信息保护法（2021） 第73条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
县	縣	county	xian4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1912	tw-judicial-02638924a7c38d05a497	OGDL-Taiwan-1.0	source_attributed			
县长	縣長	county magistrate	xian4 zhang3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1913	tw-judicial-0dc53c4dc95a8c3c3039	OGDL-Taiwan-1.0	source_attributed			
参事	參事	Counselor	can1 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1159	tw-judicial-40c81635f8740f2008a7	OGDL-Taiwan-1.0	source_attributed			
参事室	參事室	Office of the Counselors	can1 shi4 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1160	tw-judicial-692dce0406c5cc4869d5	OGDL-Taiwan-1.0	source_attributed			
参事室（个人）	參事室（個人）	Counselor		unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1161	tw-judicial-1968cfdf42a184f156bf	OGDL-Taiwan-1.0	source_attributed			
参审员	參審員	Expert Lay Judge	can1 shen3 yuan2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1163	tw-judicial-f2697e9b4c26aa317f19	OGDL-Taiwan-1.0	source_attributed			
参政权	參政權	suffrage rights	can1 zheng4 quan2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1162	tw-judicial-3073a89b02ae0ab55f65	OGDL-Taiwan-1.0	source_attributed			
参谋总长	參謀總長	Chief of the General Staff	can1 mou2 zong3 zhang3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1164	tw-judicial-10a50f03edcf8661804d	OGDL-Taiwan-1.0	source_attributed			
双方合议	雙方合議	mutual agreement	shuang1 fang1 he2 yi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:2034	tw-judicial-c20ed935acac0fed8bf9	OGDL-Taiwan-1.0	source_attributed			
反倾销措施	反傾銷措施	anti-dumping measures	fan3 qing1 xiao1 cuo4 shi1	trade	CN	INTERNATIONAL	term	中华人民共和国对外贸易法（2025第二次修订）	第四十五条同时要求倾销和对国内产业的实质损害、实质损害威胁或对建立国内产业的实质阻碍等要件；不能只因进口价格较低就认定应采取反倾销措施。	oll-cn-tax-trade:cn-anti-dumping-measures	cn-anti-dumping-measures	CC-BY-4.0	project_authored	对以低于正常价值的倾销方式进入中国市场、并对国内产业造成法定损害、威胁或实质阻碍的产品依法采取的贸易救济措施。	项目释译，非官方译文；anti-dumping measures 为通行贸易救济术语。	中华人民共和国对外贸易法（2025第二次修订） 第45条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
反共抗俄战士授田条例	反共抗俄戰士授田條例	Act Governing the Farmland Grants to Anti-Communist and Anti-Soviet Union Soldiers	fan3 gong4 kang4 e2 zhan4 shi4 shou4 tian2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:206	tw-judicial-e07a02a58500416a5bf5	OGDL-Taiwan-1.0	source_attributed			
反向的混淆误认	反向的混淆誤認	reverse confusion	fan3 xiang4 de5 hun4 xiao2 wu4 ren4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:497	tw-tipo-trademark-6628732bb99293e8d5a4	OGDL-Taiwan-1.0	source_attributed			
反对、抗拒	反對、抗拒	oppose		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:385	tw-tipo-trademark-5b4d7f0eea36bb9e9ffa	OGDL-Taiwan-1.0	source_attributed			
反淡化法	反淡化法	anti-dilution statutes	fan3 dan4 hua4 fa3	intellectual_property	待核查	TW	statute	A13070000G		tw-tipo-trademark:26	tw-tipo-trademark-ec07a8f2cdab7015cd49	OGDL-Taiwan-1.0	source_attributed			
反网域名称抢注消费者保护法	反網域名稱搶註消費者保護法	ACPA	fan3 wang3 yu4 ming2 cheng1 qiang3 zhu4 xiao1 fei4 zhe3 bao3 hu4 fa3	intellectual_property	待核查	TW	abbreviation	A13070000G		tw-tipo-trademark:6	tw-tipo-trademark-9811f432c28feb215513	OGDL-Taiwan-1.0	source_attributed			
反网域名称抢注消费者保护法	反網域名稱搶註消費者保護法	Anticybersquatting Consumer Protection Act	fan3 wang3 yu4 ming2 cheng1 qiang3 zhu4 xiao1 fei4 zhe3 bao3 hu4 fa3	intellectual_property	待核查	TW	statute	A13070000G		tw-tipo-trademark:7	tw-tipo-trademark-a52b486c6c023617d2f1	OGDL-Taiwan-1.0	source_attributed			
反补贴措施	反補貼措施	countervailing measures	fan3 bu3 tie1 cuo4 shi1	trade	CN	INTERNATIONAL	term	中华人民共和国对外贸易法（2025第二次修订）	第四十七条要求关注“专向性补贴”和国内产业损害等法定要件；补贴存在本身并不自动等于应采取反补贴措施。	oll-cn-tax-trade:cn-countervailing-measures	cn-countervailing-measures	CC-BY-4.0	project_authored	对进口产品直接或间接接受出口国家或地区给予的专向性补贴，并造成法定产业损害、威胁或实质阻碍时依法采取的贸易救济措施。	项目释译，非官方译文；countervailing measures 对应贸易救济中的反补贴措施。	中华人民共和国对外贸易法（2025第二次修订） 第47条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html
反证	反證	rebuttal evidence	fan3 zheng4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:207	tw-judicial-8e43192f22a9a3a156db	OGDL-Taiwan-1.0	source_attributed			
发回更审	發回更審	remanded	fa1 hui2 geng4 shen3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1447	tw-judicial-84448cc8693be7cb78b5	OGDL-Taiwan-1.0	source_attributed			
发放证人、鉴定人日旅费	發放證人、鑑定人日旅費	Grant of Witness and Expert Witness Traveling Expenses		unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1450	tw-judicial-f8d0fd1fd6e44bc7f3ab	OGDL-Taiwan-1.0	source_attributed			
发生混淆	發生混淆	cause confusion	fa1 sheng1 hun4 xiao2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:106	tw-tipo-trademark-65dc42855811a73ae49e	OGDL-Taiwan-1.0	source_attributed			
发票人	發票人	drawer	fa1 piao4 ren2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1451	tw-judicial-6bd7b6f9876255e1bae6	OGDL-Taiwan-1.0	source_attributed			
发给一份核准通知	發給一份核准通知	to issue a Notice of Allowance（NOA）	fa1 gei3 yi1 fen4 he2 zhun3 tong1 zhi1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:23	tw-tipo-trademark-f887e6afb83ad0e09b71	OGDL-Taiwan-1.0	source_attributed			
发行权	發行權	right of distribution	fa1 xing2 quan2	intellectual_property	CN	INTERNATIONAL	term	中华人民共和国著作权法（2020修正）	本条定义聚焦向公众出售或赠与，与信息网络传播权有不同表述。	oll-cn-core:cn-distribution-right	cn-distribution-right	CC-BY-4.0	project_authored	以出售或赠与方式向公众提供作品原件或复制件的权利。	项目释译，非官方译文；不是股票发行或新闻发布。	中华人民共和国著作权法（2020修正） 第10条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html
发言人	發言人	Spokesperson	fa1 yan2 ren2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1448	tw-judicial-aa98d3265b50ed26a91a	OGDL-Taiwan-1.0	source_attributed			
发言人室	發言人室	Office of the Spokesperson	fa1 yan2 ren2 shi4	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1449	tw-judicial-364f934c247e4cc0229a	OGDL-Taiwan-1.0	source_attributed			
发音、读音	發音、讀音	pronounce		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:444	tw-tipo-trademark-42b8acf5fb2eac6a17db	OGDL-Taiwan-1.0	source_attributed			
取得时效	取得時效	acquisitive prescription	qu3 de2 shi2 xiao4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:705	tw-judicial-3356cc05f896c176e425	OGDL-Taiwan-1.0	source_attributed			
取得识别性、后天识别性	取得識別性、後天識別性	acquired distinctiveness		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:8	tw-tipo-trademark-bad65174287506db8e46	OGDL-Taiwan-1.0	source_attributed			
受处分人	受處分人	person liable to penalty	shou4 chu3 fen4 ren2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:710	tw-judicial-4996df4185423086b3e0	OGDL-Taiwan-1.0	source_attributed			
受扶养亲属	受扶養親屬	dependents	shou4 fu2 yang3 qin1 shu3	family	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:706	tw-judicial-cf6d3680735dc568f532	OGDL-Taiwan-1.0	source_attributed			
受教育机会	受教育機會	an opportunity for education	shou4 jiao4 yu4 ji1 hui4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:708	tw-judicial-08aab7f2c5e2fe943efc	OGDL-Taiwan-1.0	source_attributed			
受理件数	受理件數	Cases Lodged	shou4 li3 jian4 shu4	unclassified	待核查	TW	unclassified	統計處		tw-judicial:709	tw-judicial-c16a6e2aeb402a469e48	OGDL-Taiwan-1.0	source_attributed			
受益行政处分	受益行政處分	beneficial administrative act	shou4 yi4 xing2 zheng4 chu3 fen4	administrative	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:707	tw-judicial-c36e3846aa85b0056891	OGDL-Taiwan-1.0	source_attributed			
受让人	受讓人	assignee	shou4 rang4 ren2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:41	tw-tipo-trademark-dd121c853ac60b0910f1	OGDL-Taiwan-1.0	source_attributed			
变更	變更	alteration	bian4 geng1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:2107	tw-judicial-e169e2e0bd43a504e486	OGDL-Taiwan-1.0	source_attributed			
变更判例会议	變更判例會議	Conference of Alteration of Judicial Precedents	bian4 geng1 pan4 li4 hui4 yi4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:2108	tw-judicial-4252a41f6dd31fdfa477	OGDL-Taiwan-1.0	source_attributed			
变更登记	變更登記	registration of change	bian4 geng1 deng1 ji4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:2109	tw-judicial-6ba16ed6a78dc279c3b4	OGDL-Taiwan-1.0	source_attributed			
变造	變造	Transform; alter	bian4 zao4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:2110	tw-judicial-8fee301dc5b6c95575b4	OGDL-Taiwan-1.0	source_attributed			
口头诽谤	口頭誹謗	slander	kou3 tou2 fei3 bang4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:30	tw-judicial-496a60e6233f790c3758	OGDL-Taiwan-1.0	source_attributed			
另外	另外	in addition	ling4 wai4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:294	tw-tipo-trademark-145da069f94fdc1d0f9d	OGDL-Taiwan-1.0	source_attributed			
召集	召集	recall	zhao4 ji2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:283	tw-judicial-4b20613bd67b08d62e5d	OGDL-Taiwan-1.0	source_attributed			
召集规则	召集規則	Regulations Governing the Military Array	zhao4 ji2 gui1 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:284	tw-judicial-57d3c4df30633853a9ba	OGDL-Taiwan-1.0	source_attributed			
可区辨的记号（如德文的母音变化、西班牙文鼻音化符号、法文的重音）	可區辨的記號（如德文的母音變化、西班牙文鼻音化符號、法文的重音）	Diacritical marks		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:147	tw-tipo-trademark-a49d142d55a211c3d376	OGDL-Taiwan-1.0	source_attributed			
可用的、可实行的	可用的、可實行的	feasible		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:217	tw-tipo-trademark-1d0d32a33352abf18acf	OGDL-Taiwan-1.0	source_attributed			
可罚性之行为	可罰性之行為	punishable act	ke3 fa2 xing4 zhi1 xing2 wei2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:282	tw-judicial-d7511d567c439496bd36	OGDL-Taiwan-1.0	source_attributed			
可能发生的混淆	可能發生的混淆	incidence of confusion	ke3 neng2 fa1 sheng1 de5 hun4 xiao2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:295	tw-tipo-trademark-6516b23b083b49c19012	OGDL-Taiwan-1.0	source_attributed			
可辨认的、足以识别的	可辨認的、足以識別的	recognizable		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:463	tw-tipo-trademark-506805bca4ca5051538d	OGDL-Taiwan-1.0	source_attributed			
可退还的	可退還的	refundable	ke3 tui4 huan2 de5	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:281	tw-judicial-d874ef906a724e61d71c	OGDL-Taiwan-1.0	source_attributed			
可靠证据	可靠證據	credible evidence	ke3 kao4 zheng4 ju4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:121	tw-tipo-trademark-5a146a3407fc65932545	OGDL-Taiwan-1.0	source_attributed			
台中高等行政法院	臺中高等行政法院	Taichung High Administrative Court	tai2 zhong1 gao1 deng3 xing2 zheng4 fa3 yuan4	administrative,dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1683	tw-judicial-4330dfd58f9e3212a933	OGDL-Taiwan-1.0	source_attributed			
台北市办理征收土地农林作物及鱼类补偿迁移费查估标准	台北市辦理徵收土地農林作物及魚類補償遷移費查估標準	Appraisal Standards of Compensation for Crops, Forest and Fishery in Case of Taipei City Government’s Exercise of Eminent Domain	tai2 bei3 shi4 ban4 li3 zheng1 shou1 tu3 di4 nong2 lin2 zuo4 wu4 ji2 yu2 lei4 bu3 chang2 qian1 yi2 fei4 cha2 gu1 biao1 zhun3	property	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:323	tw-judicial-e459581b1c9cec652a21	OGDL-Taiwan-1.0	source_attributed			
台北市国税局	台北市國稅局	Taipei National Tax Administration	tai2 bei3 shi4 guo2 shui4 ju2	tax	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:321	tw-judicial-451e0782e6e65a23f9be	OGDL-Taiwan-1.0	source_attributed			
台北市奖励投资兴建零售市场须知	台北市獎勵投資興建零售市場須知	Notice on Encouragement of Investment to Build Retailers Market in Taipei City	tai2 bei3 shi4 jiang3 li4 tou2 zi1 xing1 jian4 ling2 shou4 shi4 chang3 xu1 zhi1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:322	tw-judicial-9c33293e802265e1678a	OGDL-Taiwan-1.0	source_attributed			
台北市市区道路管理规则	台北市市區道路管理規則	Regulations Governing the Supervision of Taipei City Roads	tai2 bei3 shi4 shi4 qu1 dao4 lu4 guan3 li3 gui1 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:320	tw-judicial-55e70f9cc196120e2bea	OGDL-Taiwan-1.0	source_attributed			
台北高等行政法院	臺北高等行政法院	Taipei High Administrative Court	tai2 bei3 gao1 deng3 xing2 zheng4 fa3 yuan4	administrative,dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1684	tw-judicial-b62c63dd4301543d2faa	OGDL-Taiwan-1.0	source_attributed			
台湾云林地方法院	臺灣雲林地方法院	Taiwan Yunlin District Court	tai2 wan1 yun2 lin2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1724	tw-judicial-59012df34a0a06b73be7	OGDL-Taiwan-1.0	source_attributed			
台湾云林地方法院北港简易庭	臺灣雲林地方法院北港簡易庭	Taiwan Yunlin District Court Beigang Summary Court	tai2 wan1 yun2 lin2 di4 fang1 fa3 yuan4 bei3 gang3 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1726	tw-judicial-b39ce78af5190b7d9481	OGDL-Taiwan-1.0	source_attributed			
台湾云林地方法院斗六简易庭	臺灣雲林地方法院斗六簡易庭	Taiwan Yunlin District Court Douliu Summary Court	tai2 wan1 yun2 lin2 di4 fang1 fa3 yuan4 dou4 liu4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1725	tw-judicial-f57ba3ca868e57cde735	OGDL-Taiwan-1.0	source_attributed			
台湾云林地方法院虎尾简易庭	臺灣雲林地方法院虎尾簡易庭	Taiwan Yunlin District Court Huwei Summary Court	tai2 wan1 yun2 lin2 di4 fang1 fa3 yuan4 hu3 wei3 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1727	tw-judicial-2498ab9b8155f4152891	OGDL-Taiwan-1.0	source_attributed			
台湾南投地方法院	臺灣南投地方法院	Taiwan Nantou District Court	tai2 wan1 nan2 tou2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1696	tw-judicial-a9222397a9301197e343	OGDL-Taiwan-1.0	source_attributed			
台湾南投地方法院南投简易庭	臺灣南投地方法院南投簡易庭	Taiwan Nantou District Court Nantou Summary Court	tai2 wan1 nan2 tou2 di4 fang1 fa3 yuan4 nan2 tou2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1697	tw-judicial-70add85d30689229cba6	OGDL-Taiwan-1.0	source_attributed			
台湾南投地方法院埔里简易庭	臺灣南投地方法院埔里簡易庭	Taiwan Nantou District Court Puli Summary Court	tai2 wan1 nan2 tou2 di4 fang1 fa3 yuan4 pu3 li3 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1698	tw-judicial-3188ae1ff4dcb249a5d6	OGDL-Taiwan-1.0	source_attributed			
台湾台东地方法院	臺灣臺東地方法院	Taiwan Taitung District Court	tai2 wan1 tai2 dong1 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1749	tw-judicial-e9083a88a02a30d1df54	OGDL-Taiwan-1.0	source_attributed			
台湾台东地方法院台东简易庭	臺灣臺東地方法院臺東簡易庭	Taiwan Taitung District Court Taitung Summary Court	tai2 wan1 tai2 dong1 di4 fang1 fa3 yuan4 tai2 dong1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1751	tw-judicial-3a989d923bbdb605e8b2	OGDL-Taiwan-1.0	source_attributed			
台湾台东地方法院成功简易庭	臺灣臺東地方法院成功簡易庭	Taiwan Taitung District Court Chenggong Summary Court	tai2 wan1 tai2 dong1 di4 fang1 fa3 yuan4 cheng2 gong1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1750	tw-judicial-0f46c6a564cc2a452930	OGDL-Taiwan-1.0	source_attributed			
台湾台中地方法院	臺灣臺中地方法院	Taiwan Taichung District Court	tai2 wan1 tai2 zhong1 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1742	tw-judicial-7979b1425a5828fcfb82	OGDL-Taiwan-1.0	source_attributed			
台湾台中地方法院丰原简易庭	臺灣臺中地方法院豐原簡易庭	Taiwan Taichung District Court Fengyuan Summary Court	tai2 wan1 tai2 zhong1 di4 fang1 fa3 yuan4 feng1 yuan2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1745	tw-judicial-f05448e31f6a65102c81	OGDL-Taiwan-1.0	source_attributed			
台湾台中地方法院台中简易庭	臺灣臺中地方法院臺中簡易庭	Taiwan Taichung District Court Taichung Summary Court	tai2 wan1 tai2 zhong1 di4 fang1 fa3 yuan4 tai2 zhong1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1744	tw-judicial-b25923a1d97fb62cc47e	OGDL-Taiwan-1.0	source_attributed			
台湾台中地方法院沙鹿简易庭	臺灣臺中地方法院沙鹿簡易庭	Taiwan Taichung District Court Shalu Summary Court	tai2 wan1 tai2 zhong1 di4 fang1 fa3 yuan4 sha1 lu4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1743	tw-judicial-4ad16b5e717f4ffb158e	OGDL-Taiwan-1.0	source_attributed			
台湾台北地方法院	臺灣臺北地方法院	Taiwan Taipei District Court	tai2 wan1 tai2 bei3 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1746	tw-judicial-231bae87a3cc27b39fe4	OGDL-Taiwan-1.0	source_attributed			
台湾台北地方法院台北简易庭	臺灣臺北地方法院臺北簡易庭	Taiwan Taipei District Court Taipei Summary Court	tai2 wan1 tai2 bei3 di4 fang1 fa3 yuan4 tai2 bei3 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1748	tw-judicial-6f0235498b4cd80bc172	OGDL-Taiwan-1.0	source_attributed			
台湾台北地方法院新店简易庭	臺灣臺北地方法院新店簡易庭	Taiwan Taipei District Court Xindian Summary Court	tai2 wan1 tai2 bei3 di4 fang1 fa3 yuan4 xin1 dian4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1747	tw-judicial-28569052b6267dfa6a87	OGDL-Taiwan-1.0	source_attributed			
台湾台南地方法院	臺灣臺南地方法院	Taiwan Tainan District Court	tai2 wan1 tai2 nan2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1752	tw-judicial-b1c0b47e3d34bd2e7ef7	OGDL-Taiwan-1.0	source_attributed			
台湾台南地方法院台南简易庭	臺灣臺南地方法院臺南簡易庭	Taiwan Tainan District Court Tainan Summary Court	tai2 wan1 tai2 nan2 di4 fang1 fa3 yuan4 tai2 nan2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1755	tw-judicial-3967e1035c654dd59faa	OGDL-Taiwan-1.0	source_attributed			
